Attribute,Description,Standard value,Unit,Data type,Source
deployment,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",True,--,bool,
color,Color for plot,#FF00FF,hex,str,
efficiancy,Conversion efficiency,0.3,--,float,
capacity_kW,maximum power,inf,kWh,float,
co2_intensity,Carbon-dioxide intensity of technology output (annual average value).,1.06,kg CO2/kWh,float,
lifetime,Expected lifetime of technology before replacement is required.,25,years,int,
om_cost,Operation and maintenance cost per consumed carrier unit,0,CHF/kWh,float,
capital_cost,CAPEX cost of technology per unit of capacity.,1053,CHF/kWp,float,
maintenance_cost,OPEX cost of technology per unit capacity,10,CHF/kWp/year,float,
interest_rate,Interest rate for computing levelised costs (if required).,0.025,--,float,
