Attribute,Description,Standard value,Unit,Data type,Source
deployment,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",True,--,bool,
color,Color for plot,#90037F,hex,str,
fluid,does the process have a fluidised bed,False,--,bool,
methane percentage,methane produced per input,0.6,,float,
efficiancy_primary,Conversion efficiency,0.3,--,float,
efficiancy_secondary,Conversion efficiency,0.8395,,float,
capacity_kWh,maximum output,inf,kWh,float,
co2_intensity,Carbon-dioxide intensity of technology output (annual average value).,0.814,kg CO2/kWh,float,
lifetime,Expected lifetime of technology before replacement is required.,25,years,int,
om_cost,Operation and maintenance cost per consumed carrier unit,0,CHF/kWh,float,
capital_cost,CAPEX cost of technology per unit of capacity.,1834,CHF/kWp,float,
maintenance_cost,OPEX cost of technology per unit of capacity.,10,CHF/kWp/year,float,
interest_rate,Interest rate for computing levelised costs (if required).,0.025,--,float,
