Attribute,Description,Standard value,Unit,Data type,Source
deployment,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",False,--,bool,
deploy_existing,"If set to 'true', existing gas turbine will be deployable.",False,--,bool,
kW_el_max,Maximum capacity (electric power output) of newly built CHP gas turbines.,inf,kW,float,
force_cap_max,Force implementation of maximum capacity specified in kW_el_max. Only relevant for optimisation.,False,kW,bool,
hv_gas_MJpkg,Heating value (lower) of gas,46,MJ/kg,float,
eta_el,Electrical conversion effiency.,0.35,-,float,
htp_ratio,Heat-to-power (htp) ratio (kW_th/kW_el),1.5,kW_th/kW_el,float,
gas_price_CHFpkWh,Price of gas.,0.13,CHF/kWh,float,
co2_intensity,Carbon-dioxide intensity of technology output (annual average value).,0.645,kg CO2/kWh,float,
lifetime,Expected lifetime of technology before replacement is required.,25,years,int,
capital_cost,CAPEX cost of technology per unit of capacity.,5000,CHF/kWp,float,
maintenance_cost,OPEX cost of technology per unit of capacity.,10,CHF/kWp/year,float,
interest_rate,Interest rate for computing levelised costs (if required).,0.025,--,float,
allow_heat_export,Is it allowed to export heat?,True,--,bool,
heat_export_subsidy,Export subsidy for heat. Can be needed when optimizing in the LP-mode.,1e-05,CHF/kWh,float,
