Attribute,Description,Standard value,Unit,Data type,Source
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",True,--,bool,
``demand_share_type``,,free,,str,
``demand_share_val``,,0.5,,float,
``import_kW_th_max``,Maximum thermal capacity of heat import (from outside the municipality).,'inf',kW,float,
``grid_kW_th_max``,Maximum thermal capacity of the grid.,'inf',kW,float,DOI 10.1088/1748-9326/abfc75
``investment_dh_grid_per_m``,,400,CHF/m,int,
``maintenance_cost_dh_grid_per_m``,,5,CHF/m/year,int,
``closeness_based_dh_expansio_cost``,,True,,bool,
``capex``,,1000,CHF/kW,float,
``maintenance_cost``,,10,CHF/kW/year,float,
``tariff_CHFpkWh``,Tariff for imported heat.,0.13,CHF/kWh,float,
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0.108,kg CO2/kWh,float,
``lifetime``,Expected lifetime of technology before replacement is required.,25,years,int,
``interest_rate``,Interest rate for computing levelised costs (if required).,0.025,--,float,
``heat_sources``,Connected heat sources,,--,dict,
``heat_sources: import``,"If set to 'true', heat import is allowed (based on 'import_kW_th_max')",True,--,bool,
``heat_sources: chp_gt``,"If set to 'true', CHP gas turbine plant is connected to district heating network (DHN). Technology must be deployed accordingly.",True,--,bool,
``heat_sources: steam_turbine``,"If set to 'true', steam turbine is connected to the DHN. Technology must be deployed accordingly.",True,--,bool,
``heat_sources: waste_to_energy``,"If set to 'true', the waste-to-energy plant is connected to the DHN.  Technology must be deployed accordingly.",False,--,bool,
``heat_sources: heat_pump_cp``,"If set to 'true', a central heat pump is connected to the DHN. Technology must be deployed accordingly.",True,--,bool,
``heat_sources: heat_pump_cp_lt``,"If set to 'true', a central heat pump converting low-temperature waste heat into useful heat is connected to the DHN. Technology must be deployed accordingly.",False,--,bool,
``heat_sources: oil_boiler_cp``,"If set to 'true', a central oil boiler is connected to the DHN. Technology must be deployed accordingly.",False,--,bool,
``heat_sources: electric_heat_cp``,"If set to 'true', a central electric resistance heater is connected to the DHN. Technology must be deployed accordingly.",False,--,bool,
``heat_sources: wood_boiler_cp``,"If set to 'true', a central wood boiler is connected to the DHN. Technology must be deployed accordingly.",True,--,bool,
``heat_sources: gas_boiler_cp``,"If set to 'true', a central gas boiler is connected to the DHN. Technology must be deployed accordingly.",True,--,bool,
``heat_sources: waste_heat``,"If set to 'true', a hot waste heat source is connected to the DHN. Technology must be deployed accordingly.",False,--,bool,
``heat_sources: biomass``,"If set to 'true', biomass technologies are connected to the DHN. Technology must be deployed accordingly.",True,--,bool,
