Attribute,Description,Standard value,Unit,Data type,Source
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",True,--,bool,
``kW_th_max``,Maximum thermal power output,inf,kW,str,
``force_cap_max``,,False,--,bool,
``cap_min_use``,,0,kW,float,
``cop``,,8,--,float,
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0,kg CO2/kWh,int,
``lifetime``,Expected lifetime of technology before replacement is required.,25,years,int,
``capital_cost``,CAPEX cost of technology per unit of capacity.,2000,CHF/kW,float,
``maintenance_cost``,OPEX cost of technology per unit of capacity.,10,CHF/kW/year,int,
``interest_rate``,Interest rate for computing levelised costs (if required).,0.025,--,float,
