Attribute,Description,Standard value,Unit,Data type
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",True,--,bool
``kWp_max``,Kilowatt Peak: Maximum power output of hydro power plants.,inf,kW,float
``existing_decentralised``,,True,,bool
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0,kg CO2/kWh,float
``lifetime``,Expected lifetime of technology before replacement is required.,25,years,int
``capex``,CAPEX cost of technology per unit of capacity.,0,CHF/kWp,float
``maintenance_cost``,OPEX cost of technology.,130,CHF/kWp/year,float
``interest_rate``,Interest rate for computing levelised costs (if required).,,--,float
``virtual_export_tariff``,virtual export tarriff to prefer internal usage of the electricity,0,CHF/kWh,float
``export_subsidy``,subsidy to make export more likely (and prevent cycling of storages to curtail energy),0,CHF/kWh,float
