Attribute,Description,Standard value,Unit,Data type,Source
``hv_oil_MJpkg``,Lower heating value of oil.,,[MJ/kg],float,
``oil_price_CHFpl``,Oil price (annual fixed value).,,[CHF/l],float,
``hv_gas_MJpkg``,Lower heating value of gas.,,[MJ/kg],float,
``gas_price_CHFpkWh``,Gas price (annual fixed value).,,[CHF/kWh],float,
``hv_wood_MJpkg``,Lower heating value of wood.,,[MJ/kg],float,
``wood_price_CHFpkg``,Wood price (annual fixed value).,,[CHF/kg],float,
``hv_msw_MJpkg``,Lower heating value of municipal solid waste (MSW).,,[MJ/kg],float,
``msw_price_CHFpkg``,Price of municipal solid waste. Will usually be negative (i.e. revenue).,,[CHF/kg],float,
``oil_import``,Is Oil Import allowed,True,--,bool,
``co2_content_oil``,CO2 content of imported oil,0.301,kg CO2/kWh,float,
``gas_import``,Is gas import allowed,True,--,bool,
``co2_content_gas``,CO2 content of imported gas,0.228,kg CO2/kWh,float,
``wood_import``,Is wood import allowed,False,--,bool,
``co2_content_local_wood``,CO2 content of local wood,0.027,kg CO2/kWh,float,
``co2_content_imported_wood``,CO2 content of imported wood,0.027,kg CO2/kWh,float,
