Attribute,Description,Standard value,Unit,Data type
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for ``thermal_energy_storage`` :ref:`scenario <scenarios>` or for :ref:`optimisation <optimisation>`.",False,--,bool
``force_asynchronous_prod_con``,"If set to 'true', the tes cannot be charged and discharged simultaneously",True,--,bool
``eta_chg_dchg``,Charging and discharging efficiency (fixed). Roundtrip-efficiency is calculated as eta_chg_dchg*eta_chg_dchg.,0.95,--,float
``tes_gamma``,Loss rate: fraction of heat lost to the environment during one timestep (e.g. 1 hour),0.001,1/timestep,float
``capacity_kWh``,Storage capacity.,inf,kWh,float
``chg_dchg_per_cap_max``,Max. charge/discharge (kW) per storage cap (kWh) per timestep.,0.1,1/timestep,float
``initial_charge``,Initial charge of storage (fraction of total storage capacity),0,--,float
``optimized_initial_charge``,"If True, initial_charge is determined within the optimization s.t. the initial charge and the final charge are the same",True,--,bool
``connections``,Technologies connected to TES can be switched on (True) of off (False).,,--,dict
``connections: heat_pump``,"If set to 'true', decentralised heat pumps are connected to TES. Technology must be deployed accordingly.",True,--,bool
``connections: solar_thermal``,"If set to 'true', decentralised heat pumps are connected to TES. Technology must be deployed accordingly.",True,--,bool
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0,kg CO2/kWh,float
``lifetime``,Expected lifetime of technology before replacement is required.,25,years,int
``capex``,,3,CHF/kWh,
``maintenance_cost``,OPEX cost of technology,0.02,CHF/kWh/year,float
``interest_rate``,Interest rate for computing levelised costs (if required).,0.025,--,float
