Attribute,Description,Standard value,Unit,Data type,Source
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",True,--,bool,
``kWp_max``,Kilowatt Peak: Maximum power output of wind power system.,1e+32,kW,float,
``kWp_max_systemwide``,,'inf',,float,
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0,kg CO2/kWh,float,
``lifetime``,Expected lifetime of technology before replacement is required.,25,years,int,
``maintenance_cost``,,11.3,CHF/kWp/year,float,
``capex_CHFpkWp``,CAPEX cost of technology per unit of capacity.,2075,CHF/kWp,float,
``interest_rate``,Interest rate for computing levelised costs (if required).,0.025,--,float,
``potential_integration_factor``,Used for scenario 'wind_power_integration'. This factor specifies the fraction of additional wind power potential to be implemented. The additional wind power potential is based on a a simulation done by Wind-Topo.,0,--,float,
``virtual_export_tariff``,virtual export tarriff to prefer internal usage of the electricity,0,CHF/kWh,float,
``export_subsidy``,subsidy to make export more likely (and prevent cycling of storages to curtail energy),0,CHF/kWh,float,
``wind_power_installed_allocation``,"Decision on whether the installed wind power will be counted towards the local electricity generation or towards the national electricity mix. Options: 'national', 'local'",,--,str,
``v_e_wp_national_recalc``,"If set to 'true, recalculation of hourly national wind power profile of installed capacity will be carried out; default should be 'false', as this is only required when new wind power plants have been installed.",,--,bool,
