Attribute,Description,Standard value,Unit,Data type
``deployment``,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation.",False,--,bool
``color``,Color for plot,#904D11,hex,str
``efficiancy``,Conversion efficiency,0.625,--,float
``fluid``,does the process have a fluidised bed,True,--,bool
``capacity_kWh``,maximum output,inf,kWh,float
``co2_intensity``,Carbon-dioxide intensity of technology output (annual average value).,0.33,kg CO2/kWh,float
``lifetime``,Expected lifetime of technology before replacement is required.,25,years,int
``capital_cost``,CAPEX cost of technology per unit of capacity.,2315,CHF/kWp,float
``maintenance_cost``,OPEX cost of technology per unit of capacity.,10,CHF/kWp/year,float
``interest_rate``,Interest rate for computing levelised costs (if required).,0.025,--,float
