"Number","Column","Data type","Description","Source for Swiss dataset"
"0","``Hydro Pumpspeicher``","float","Hourly supply profile in GWh for pumped storage hydro power on national scale.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"1","``Hydro Laufwasser``","float","Hourly supply profile in GWh for run-of-river hydro power on national scale.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"2","``Hydro Speicher``","float","Hourly supply profile in GWh for storage hydro power on national scale.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"3","``Nuclear``","float","Hourly supply profile in GWh for nuclear power on national scale.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"4","``Solar``","float","Hourly supply profile in GWh for solar PV power on national scale.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"5","``Wind``","float","Hourly supply profile in GWh for wind power on national scale.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"6","``Biomass``","float","Hourly supply profile in GWh for biomass power on national scale.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"7","``Other``","float","Hourly supply profile in GWh for other sources on national scale.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"8","``Load``","float","Hourly load profile in GWh on national scale (i.e. national electricity demand).","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"9","``Import``","float","Hourly supply profile in GWh for power imported from other countries (i.e., cross-border import).","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
