"Number","Column","Data type","Description","Source for Swiss dataset"
"0","EGID","int64","Unique identifier assigned to each building. For Switzerland, these are allready assigned to each building (see www.regbl.admin.ch/catalog). For buildings in other regions or not existing, a new EGID identifier can be assigned, but should be different from those already existing.","Federal Statistical Office, 2025"
"1","GDEKT","object","Canton, in which the building is located. For regions outside of Switzerland, this is not relevant or can be assigned according to similar regional entities such as e.g. provinces.","Swisstopo, 2024"
"2","GKAT","float64","Building category, adopted according to Federal Statistical Office (2025). The categroy code is a numeric integer consisting of 4 digits. The codes for each category can be found on www.regbl.admin.ch/catalog. For example, category ""1020"" refers to ""Building for residential use only"". Among others, this categorisation is used to distinguis between different types of energy demand.","Federal Statistical Office, 2025"
"3","GKLAS","float64","Building class, adopted according to Federal Statistical Office (2025). The class code is a numeric integer consisting of 4 digits. The codes for each class can be found on www.regbl.admin.ch/catalog. For example, building class ""1211"" refers to ""Hotels"", while class ""1220"" refers to Office buildings. Among others, this classification is used to distinguis between different types of energy demand.","Federal Statistical Office, 2025"
"4","GGDENR","int64","Unique identifier assigned to each district. For Switzerland, it is the number of the commune according to the Official Register of Swiss Communes in Switzerland. For other regions or districts with customised boundaries other than the official Swiss communes, new numbers can be assigned (>7000). They must be unique and not coincide with existing numbers.","Federal Statistical Office, 2025"
"5","GGDENAME","object","Name of the district. For municipalities in Switzerland, it is taken from the Official directory fo building addresses (Swisstopo, 2024).","Swisstopo, 2024"
"6","GKODE","float64","E coordinate of the building (for Switzerland in LV95 standard). Not relevant for regions other than Switzerland.","Federal Statistical Office, 2025"
"7","GKODN","float64","N coordinate of the building (for Switzerland in LV95 standard). Not relevant for regions other than Switzerland.","Federal Statistical Office, 2025"
"8","GBAUJ","float64","Year of construction of the building according to Federal Statistical Office, 2025. See www.regbl.admin.ch/catalog.","Federal Statistical Office, 2025"
"9","GBAUP","float64","Period of construction according to Federal Statistical Office, 2025. See www.regbl.admin.ch/catalog.","Federal Statistical Office, 2025"
"10","GAREA","float64","Surface area of building (floor area) in square meters according to Federal Statistical Office, 2025. See www.regbl.admin.ch/catalog.","Federal Statistical Office, 2025"
"11","GASTW","float64","Number of floors and basements, including ground floor. According to Federal Statistical Office, 2025. See www.regbl.admin.ch/catalog.","Federal Statistical Office, 2025"
"12","GENH1","float64","Energy source / heat source 1 described as numeric code of 4 digits according to Federal Statistical Office, 2025. See www.regbl.admin.ch/catalog. For example, code ""7520"" refers to ""Gas"".","Federal Statistical Office, 2025"
"13","GENH2","float64","Energy source / heat source 2 (if applicable). Described as numeric code of 4 digits in the same way as GENH1.","Federal Statistical Office, 2025"
"14","GENW1","float64","Energy / heat source for hot water 1 described as numeric code of 4 digits accordint to Federal Statistical Office, 2025. See www.regbl.admin.ch/catalog. For example, code ""7520"" refers to ""Gas"".","Federal Statistical Office, 2025"
"15","GENW2","float64","Energy / heat source for hot water 2 (if applicable). Described as numeric code of 4 digits in the same way as GENW1.","Federal Statistical Office, 2025"
"16","Coord_lat","float64","Latitude coordinate of the building in decimal format (e.g., 47.269056)","Converted from 'GKODN'."
"17","Coord_long","float64","Longitude coordinate the building in decimal format (e.g., 8.449859)","Converted from 'GKODE'."
"18","PV_Pot","float64","Annual rooftop solar photovoltaic generation potential of the building (in kWh).","Swiss Federal Office of Energy, 2023"
"19","PV_Pot_reco","float64","Recommended annual rooftop solar photovoltaic generation potential based on roof suitability. Subset of PV_Pot.","Subset calculated from PV_tot."
"20","FPV_Pot","float64","Annual fassade solar photovoltaic generation potential of the building (in kWh).","Swiss Federal Office of Energy, 2023"
"21","FPV_Pot_reco","float64","Recommended annual fassade solar photovoltaic generation potential based on fassade suitability. Subset of FPV_Pot.","Subset calculated from FPV_tot."
