"Number","Column","Data type","Description","Source for Swiss dataset"
"0","``Municipality``","object","Name of the district or municipality according to ``GGDENAME`` in :ref:`master_file`. For municipalities in Switzerland, it is taken from the Official directory fo building addresses (Swisstopo, 2024).","Grouped value from :ref:`master_file`"
"1","``GGDENR``","int64","According to ``GGDENR`` in :ref:`master_file`e.","Grouped value from :ref:`master_file`"
"2","``Canton``","object","Same as ``GDEKT`` in :ref:`master_file`. Canton, in which the district is located. For regions outside of Switzerland, this is not relevant or can be assigned according to similar regional entities such as e.g. provinces. For Switzerland, the short form is used (e.g., ZH, FR, … ).","From :ref:`master_file`."
"3","``Coord_lat_median``","float64","Latitude coordinate of the district. Given in decimal format (e.g., 47.269056).","Calculated as median from ``Coord_lat`` values given in :ref:`master_file`."
"4","``Coord_long_median``","float64","Longitude coordinate of the district. Given in decimal format (e.g., 8.449859)","Calculated as median from ``Coord_long`` values given in :ref:`master_file`."
"5","``altitude_median``","float64","Elevation above sea level of the district.","Calculated as median from ``altitude`` values given in :ref:`master_file`."
"6","``Filename``","object","Name of the file that will be automatically generated as a subset from :ref:`master_file`. It must not contain spaces. It is usually based on the ``Municipality`` name.  For example, if the ``Municipality`` name is ""Affoltern am Albis"", ``Filename`` is ""Affoltern_am_Albis"".","Based on values in ``Municipality``"
"7","``LocalHydroPotential``","float64","Local total annual hydro power potential in kWh.","See :ref:`hydro_power`"
"8","``LocalHydroPotential_Laufkraftwerk``","float64","Local annual run-of-river hydro power potential in kWh.","See :ref:`hydro_power`"
"9","``LocalHydroPotential_Speicherkraftwerk``","float64","Local annual storage hydro power potential in kWh.","See :ref:`hydro_power`"
"10","``LocalHydroPotential_Pumpspeicherkraftwerk``","float64","Local annual pumped storage hydro power potential in kWh.","See :ref:`hydro_power`"
"11","``v_h_eh``","float64","Required annual heat supply (i.e., heat demand) in kWh from electric heaters (eh) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``heat_energy_demand_estimate_kWh_combined`` for all buildings with ``Heating_System`` type ``v_h_eh`` within the selected municipality."
"12","``v_h_hp``","float64","Required annual heat supply (i.e., heat demand) in kWh from heat pumps (hp) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``heat_energy_demand_estimate_kWh_combined`` for all buildings with ``Heating_System`` type ``v_h_hp`` within the selected municipality."
"13","``v_h_dh``","float64","Required annual heat supply (i.e., heat demand) in kWh from district heating (dh) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``heat_energy_demand_estimate_kWh_combined`` for all buildings with ``Heating_System`` type ``v_h_dh`` within the selected municipality."
"14","``v_h_gb``","float64","Required annual heat supply (i.e., heat demand) in kWh from gas boilers (gb) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``heat_energy_demand_estimate_kWh_combined`` for all buildings with ``Heating_System`` type ``v_h_gb`` within the selected municipality."
"15","``v_h_ob``","float64","Required annual heat supply (i.e., heat demand) in kWh from oil boilers (ob) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``heat_energy_demand_estimate_kWh_combined`` for all buildings with ``Heating_System`` type ``v_h_ob`` within the selected municipality."
"16","``v_h_wb``","float64","Required annual heat supply (i.e., heat demand) in kWh from wood boilers (wb) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``heat_energy_demand_estimate_kWh_combined`` for all buildings with ``Heating_System`` type ``v_h_wb`` within the selected municipality."
"17","``v_h_solar``","float64","Required annual heat supply (i.e., heat demand) in kWh from solar thermal in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``heat_energy_demand_estimate_kWh_combined`` for all buildings with ``Heating_System`` type ``v_h_solar`` within the selected municipality."
"18","``v_h_other``","float64","Required annual heat supply (i.e., heat demand) in kWh from other technologies (i.e., unknown) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``heat_energy_demand_estimate_kWh_combined`` for all buildings with ``Heating_System`` type ``v_h_other`` within the selected municipality."
"19","``Total_Heating``","float64","Total required annual heat supply (i.e., heat demand) in kWh as the sum from all technologies in base scenario (i.e., current status) for the selected district.","Calculated as the sum of the values from individual technologies (columns 11-18)"
"20","``v_hw_eh``","float64","Required annual domestic hot water supply (i.e., heat demand) in kWh from electric heaters (eh) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``dhw_estimation_kWh_combined`` for all buildings with ``Hot_Water_System`` type ``v_h_eh`` within the selected municipality."
"21","``v_hw_hp``","float64","Required annual domestic hot water supply (i.e., heat demand) in kWh from heat pumps (hp) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of ``dhw_estimation_kWh_combined`` for all buildings with ``Hot_Water_System`` type ``v_h_hp`` within the selected municipality."
"22","``v_hw_dh``","float64","Required annual domestic hot watert supply (i.e., heat demand) in kWh from district heating (dh) in base scenario (i.e., current status) for the selected district. Can be calculated from values contained in :ref:`master_file`.","Calculated from :ref:`master_file`: Aggregated value of `dhw_estimation_kWh_combined`` for all buildings with ``Hot_Water_System`` type ``v_h_dh`` within the selected municipality."
