"Number","Column","Data type","Description","Source for |Swiss_data_Zenodo_link|"
"0","``Woody_Biomass_Profile``","float","Normalised hourly profile of woody biomass availability. This accounts for the fact that not the entire resource is available at once due to limitations such as harvesting, transport, storage, etc...","Constant hourly profile across the whole year."
"1","``Wet_Biomass_Profile``","float","Normalised hourly profile of wet biomass availability. This accounts for the fact that not the entire resource is available at once due to limitations such as harvesting, transport, storage, etc...","Constant hourly profile across the whole year."
"2","``Electricity_Profile_MFH``","float","Normalised hourly electricity load profile for multi family houses (MFH).","Rinaldi et al. (2022)"
"3","``Electricity_Profile_SFH``","float","Normalised hourly electricity load profile for single family houses (SFH).","Rinaldi et al. (2022)"
"4","``Electricity_Profile_Industry_AG``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Aargau (AG).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"5","``Electricity_Profile_Industry_FR``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Freiburg (FR).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"6","``Electricity_Profile_Industry_GL``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Glarus (GL).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"7","``Electricity_Profile_Industry_GR``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Graubünden (GR).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"8","``Electricity_Profile_Industry_LU``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Luzern (LU).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"9","``Electricity_Profile_Industry_NE``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Neuenburg (NE).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"10","``Electricity_Profile_Industry_SO``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Solothurn (SO).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"11","``Electricity_Profile_Industry_SG``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of St. Gallen (SG).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"12","``Electricity_Profile_Industry_TI``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Tessin (TI).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"13","``Electricity_Profile_Industry_TG``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Thurgau (TG).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"14","``Electricity_Profile_Industry_VS``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Wallis (VS).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"15","``Electricity_Profile_Industry_AI``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Appenzell Innerrhoden (AI).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"16","``Electricity_Profile_Industry_AR``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Appenzell Ausserrhoden (AR).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"17","``Electricity_Profile_Industry_BL``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Basel-Landschaft (BL).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"18","``Electricity_Profile_Industry_BS``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Basel-Stadt (BS).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"19","``Electricity_Profile_Industry_BE``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Bern (BE).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"20","``Electricity_Profile_Industry_JU``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Jura (JU).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"21","``Electricity_Profile_Industry_SZ``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Schwyz (SZ).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"22","``Electricity_Profile_Industry_ZG``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Zug (ZG).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"23","``Electricity_Profile_Industry_OW``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Obwalden (OW).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"24","``Electricity_Profile_Industry_NW``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Nidwalden (NW).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"25","``Electricity_Profile_Industry_UR``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Uri (UR).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"26","``Electricity_Profile_Industry_GE``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Genf (GE).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"27","``Electricity_Profile_Industry_VD``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Waadt (VD).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"28","``Electricity_Profile_Industry_SH``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Schaffhausen (SH).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"29","``Electricity_Profile_Industry_ZH``","float","Only relevant for region Switzerland. Normalised electricity load profile for industry for the canton of Zürich (ZH).","Modelled based on grid data (Swissgrid Ltd, 2025). See :ref:`electricity_demand_industry`."
"30","``Hydro_Lokal_Laufwasser_Profile``","float","Normalised hourly standard profile of local run-of-river hydro power generation.",""
"31","``Hydro_Lokal_Speicher_Profile``","float","Normalised hourly standard profile of local storage hydro power generation.",""
"32","``Hydro_Lokal_Pumpspeicher_Profile``","float","Normalised hourly standard profile of local pumped storage hydro power generation.",""
"33","``PV_Profile_0``","float","Normalised hourly profile of solar PV yield at location 0.","See :ref:`tech_solar_pv`"
"34","``PV_Profile_1``","float","Normalised hourly profile of solar PV yield at location 1.","See :ref:`tech_solar_pv`"
"35","``PV_Profile_2``","float","Normalised hourly profile of solar PV yield at location 2.","See :ref:`tech_solar_pv`"
"36","``PV_Profile_3``","float","Normalised hourly profile of solar PV yield at location 3.","See :ref:`tech_solar_pv`"
"37","``PV_Profile_4``","float","Normalised hourly profile of solar PV yield at location 4.","See :ref:`tech_solar_pv`"
"38","``PV_Profile_5``","float","Normalised hourly profile of solar PV yield at location 5.","See :ref:`tech_solar_pv`"
"39","``PV_Profile_6``","float","Normalised hourly profile of solar PV yield at location 6.","See :ref:`tech_solar_pv`"
"40","``PV_Profile_7``","float","Normalised hourly profile of solar PV yield at location 7.","See :ref:`tech_solar_pv`"
"41","``PV_Profile_8``","float","Normalised hourly profile of solar PV yield at location 8.","See :ref:`tech_solar_pv`"
"42","``PV_Profile_9``","float","Normalised hourly profile of solar PV yield at location 9.","See :ref:`tech_solar_pv`"
"43","``PV_Profile_10``","float","Normalised hourly profile of solar PV yield at location 10.","See :ref:`tech_solar_pv`"
"44","``Hydro_National_Profile``","float","Normalised hourly profile of hydro power generation from national electricity mix, for large hydro power plants not considered local.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"45","``Nuclear_National_Profile``","float","Normalised hourly profile of nuclear power generation from national electricity mix. Nuclear power plants are never considered local in DEM.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"46","``Solar_National_Profile``","float","Normalised hourly profile of solar PV power generation from national electricity mix for large solar PV plants not considered local.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"47","``Wind_National_Profile``","float","Normalised hourly profile of wind power generation from national electricity mix for large wind power plants not considered local.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"48","``Biomass_National_Profile``","float","Normalised hourly profile of power generation from biomass from national electricity mix for large power plants not considered local.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"49","``Other_National_Profile``","float","Normalised hourly profile of power generation from other technologies in the national electricity mix for technologies not considered local.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
"50","``Import_National_Profile``","float","Normalised hourly profile of energy imported from other countries.","Modelled based on data from Swiss electricity statistics (Swiss Federal Office of Energy, 2022b)"
