Attribute,Unit,Data type,Description
deployment,--,bool,"If set to 'true', the technology will be considered in the energy system model (this does not necessarily mean it will be used). Only relevant for optimisation."
import_kW_th_max,kW,float,Maximum thermal capacity of heat import (from outside the municipality).
grid_kW_th_max,kW,float,Maximum thermal capacity of the grid.
tariff_CHFpkWh,CHF/kWh,float,Tariff for imported heat.
co2_intensity,kg CO2/kWh,float,Carbon-dioxide intensity of technology output (annual average value).
lifetime,years,int,Expected lifetime of technology before replacement is required.
interest_rate,--,float,Interest rate for computing levelised costs (if required).
heat_sources,--,dict,Connected heat sources
heat_sources: import,--,bool,"If set to 'true', heat import is allowed (based on 'import_kW_th_max')"
heat_sources: chp_gt,--,bool,"If set to 'true', CHP gas turbine plant is connected to district heating network (DHN). Technology must be deployed accordingly."
heat_sources: steam_turbine,--,bool,"If set to 'true', steam turbine is connected to the DHN. Technology must be deployed accordingly."
heat_sources: waste_to_energy,--,bool,"If set to 'true', the waste-to-energy plant is connected to the DHN.  Technology must be deployed accordingly."
heat_sources: heat_pump_cp,--,bool,"If set to 'true', a central heat pump is connected to the DHN. Technology must be deployed accordingly."
